# V    B-V
15.209 0.786
17.950 1.430
17.838 1.335
19.270 0.940
19.173 0.936
20.700 0.170
18.670 1.520
18.607 1.550
20.840 0.640
16.890 1.020
16.876 1.055
16.775 0.699
20.360 0.370
17.980 1.520
19.840 1.520
18.450 1.503
17.764 1.368
17.770 1.345
19.341 0.432
18.530 1.580
18.518 1.476
20.690 1.820
18.760 1.570
18.722 1.508
19.150 1.640
20.840 2.110
17.780 1.510
17.718 1.473
17.689 1.045
19.810 1.510
19.817 1.581
14.190 0.790
19.436 0.886
18.710 0.910
18.745 0.788
15.742 0.903
15.705 0.850
15.341 0.824
15.328 0.776
15.229 0.779
16.570 1.190
16.567 1.156
16.660 1.139
17.026 1.219
16.941 1.119
17.440 0.769
17.473 0.724
18.431 1.532
18.298 1.353
17.160 1.240
17.145 1.200
17.137 1.227
13.770 0.580
13.767 0.574
13.792 0.585
13.480 0.640
13.477 0.614
13.518 0.635
19.500 0.930
19.513 0.783
16.683 0.745
16.681 0.767
13.840 0.640
13.821 0.627
13.833 0.619
13.806 0.634
13.805 0.631
15.770 0.990
15.736 0.992
15.767 0.982
15.920 1.110
15.921 1.076
15.877 1.094
15.914 1.101
14.190 0.630
14.191 0.625
14.198 0.596
14.150 0.619
14.147 0.612
14.480 0.680
14.486 0.666
14.465 0.686
14.473 0.666
14.453 0.663
14.980 0.910
15.711 0.985
16.400 1.150
16.409 1.116
16.429 1.116
14.610 0.720
14.623 0.685
14.579 0.697
14.598 0.693
16.270 1.050
16.255 1.030
16.268 1.022
16.283 1.016
14.200 0.650
14.220 0.621
14.185 0.630
14.184 0.624
14.169 0.622
14.067 0.643
14.072 0.623
14.101 0.624
15.943 0.623
14.960 0.900
14.980 0.877
14.949 0.875
15.200 0.820
15.244 0.792
15.197 0.800
15.490 0.880
15.514 0.865
15.475 0.873
15.464 0.851
15.820 1.010
15.809 1.006
15.803 0.991
15.505 1.098
15.523 1.091
15.319 0.820
15.311 0.839
15.289 0.821
14.901 0.733
14.913 0.730
14.590 0.684
14.583 0.691
14.553 0.673
15.474 0.864
15.457 0.856
15.427 0.850
15.727 0.560
15.731 0.548
14.579 0.810
14.346 0.643
14.356 0.657
15.658 0.484
15.691 0.481
15.634 0.491
16.520 1.099
16.426 1.170
14.479 0.632
15.896 1.185
14.790 0.750
14.314 0.783
14.304 0.781
16.054 1.057
15.530 0.891
14.381 0.656
15.975 1.105
15.472 0.909
12.831 0.504
14.671 0.694
14.901 0.910
15.677 0.867
15.289 0.828
16.251 0.993
16.095 1.014
15.320 0.782
15.124 0.848
14.413 0.715
14.960 0.759
14.865 0.829
14.141 0.709
14.387 0.598
14.622 0.808
14.115 0.632
14.628 0.694
14.386 0.650
14.712 0.699
13.701 0.596
15.589 0.779
14.578 0.672
15.016 0.780
14.765 0.614
15.010 0.748
14.570 1.020
14.234 0.618
10.930 1.150
20.560 1.080
17.760 1.490
17.657 1.641
20.570 1.760
19.490 1.570
18.290 1.490
18.232 1.411
17.250 1.280
17.181 1.271
17.192 1.226
17.315 1.233
17.225 1.276
19.518 0.661
19.620 1.380
18.302 1.479
18.366 1.372
20.534 -0.140
20.580 1.430
17.970 0.970
17.950 0.982
18.056 0.942
19.480 1.620
19.453 1.619
16.720 0.720
16.707 0.694
16.685 0.732
18.140 1.470
18.126 1.432
18.013 1.481
19.980 1.820
18.630 1.630
17.700 1.450
17.720 1.338
17.665 1.338
20.770 0.410
17.710 1.390
17.580 1.343
17.659 1.374
20.400 0.490
17.860 1.370
17.798 1.443
17.790 1.427
17.794 1.379
19.020 1.580
19.053 1.376
19.680 1.410
19.674 1.340
18.010 1.460
18.024 1.425
17.698 1.608
19.260 1.590
19.265 1.647
21.340 1.350
17.875 1.386
17.829 1.271
17.791 1.414
17.558 1.331
17.571 1.230
17.517 1.324
19.045 0.953
12.720 0.590
12.767 0.577
12.713 0.550
12.688 0.574
12.682 0.581
15.520 1.000
15.550 0.978
15.517 0.974
15.499 1.015
15.800 1.080
15.796 1.090
15.820 1.067
15.783 1.078
14.420 0.680
14.411 0.685
14.418 0.664
14.399 0.669
14.390 0.780
14.401 0.775
14.356 0.770
14.377 0.767
14.900 0.760
14.901 0.762
14.911 0.726
14.890 0.754
14.886 0.751
14.645 0.800
14.592 0.725
14.644 0.763
14.991 0.798
14.960 0.757
14.977 0.785
14.889 0.756
14.913 0.768
14.911 0.758
15.250 0.820
15.263 0.820
15.236 0.770
15.263 0.799
15.297 0.797
15.308 0.827
15.293 0.815
15.540 0.880
15.571 0.863
15.493 0.851
15.506 0.886
15.495 0.856
15.720 0.921
15.743 0.914
15.713 0.908
14.934 0.758
14.958 0.751
14.936 0.743
12.094 1.007
12.124 1.010
12.138 1.002
12.122 0.995
14.174 0.656
14.225 0.605
14.178 0.628
15.444 0.852
15.428 0.846
15.167 0.807
15.162 0.780
15.801 0.914
15.752 0.908
15.158 0.832
15.511 0.867
15.494 0.851
15.465 0.966
16.373 0.864
16.448 0.861
16.008 0.678
16.058 0.649
15.915 0.841
