# V     B-V
18.0564 0.4851
20.2770 0.6652
19.1201 0.5416
18.6793 0.3807
13.7908 0.8454
19.7771 0.7589
17.9387 0.4328
18.6665 0.4795
18.0531 0.4212
17.8847 0.4719
17.9376 0.4385
18.5064 0.4452
20.3313 0.5313
19.2752 0.4174
20.3529 0.6707
19.4834 0.5248
18.7446 0.4766
19.8861 0.5398
19.5758 0.5547
19.7202 0.451
19.2032 0.451
17.4177 0.6933
19.0651 0.6588
18.3798 0.429
20.2522 0.6479
19.9034 1.3369
19.3741 0.4567
18.8355 0.4077
20.0944 0.6333
20.5244 -1.4709
19.3470 0.5974
17.5394 0.6333
15.7104 0.723
18.9997 0.4719
19.4367 0.471
16.3157 0.6906
18.9077 0.4347
19.7204 0.5276
20.0878 0.6085
19.7726 0.6241
18.7652 0.3534
19.3450 0.4241
17.8828 0.4318
18.4860 0.425
19.3651 0.7535
18.4190 0.4985
19.6024 0.4461
19.6519 0.3612
18.7126 0.402
18.6156 0.2104
19.7544 0.5266
17.0306 0.625
18.3750 0.4614
17.6535 0.5678
19.0143 0.45
19.4993 0.4481
18.2907 0.401
19.0011 0.4965
19.6803 0.5304
19.0115 0.4068
17.9819 0.3942
18.9058 0.5538
14.7829 0.8093
17.9771 0.5425
18.4989 0.3603
18.9231 0.4965
19.6128 0.4672
19.4766 0.4029
18.9622 0.5854
20.1259 0.6011
18.7258 0.3952
18.0031 0.4557
18.1821 0.4193
18.9092 0.4164
17.9849 0.4643
17.0109 0.6752
15.7444 0.7186
19.8575 0.4405
17.7104 0.5752
18.2679 0.3923
19.5301 0.4937
19.3827 0.3991
18.7556 0.5154
18.0059 0.427
17.2092 0.1972
19.8639 0.5022
18.8194 0.4814
18.2611 0.4203
18.9327 0.4328
20.4291 0.657
16.8238 0.678
17.9546 0.5191
19.3707 0.47
18.6858 0.4308
19.1139 0.4261
18.3393 0.4117
18.4264 0.4461
18.6035 0.4776
20.1321 0.5919
18.3555 0.4068
18.8047 0.401
19.0126 0.4029
18.9807 1.2811
19.6571 0.538
18.7257 0.471
15.1578 0.3053
18.9172 0.5351
19.1781 0.4548
15.9865 0.7105
21.5197 -0.6493
17.6394 0.5761
17.5599 0.6752
20.8439 0.0956
18.6489 0.427
15.4758 -0.0963
19.0879 0.4279
18.0206 0.4366
19.0726 0.4748
19.7335 0.6269
19.3872 0.5351
19.6625 0.5229
18.9200 0.4586
15.1495 0.2366
19.2726 0.4738
19.7036 0.4748
19.6667 0.4347
18.7574 0.2895
18.3167 0.401
18.9994 0.4433
17.9745 0.4405
18.0445 0.4405
18.7979 0.427
19.1096 0.4366
21.2473 0.7347
19.1883 0.449
19.1081 0.5398
18.0595 0.4795
17.7558 0.6094
